country,total_cases,total_deaths,total_recovered,active_cases,serious_cases,cases_per_million,deaths_per_million,total_tests,tests_per_million,population,obesity,median_age,median_age_male,median_age_female,gdp_per_capita,avg_temp_c,area_km,pop_p_km,asl_meters,mobility_composite,healthcare_pc
Uruguay,8849,90.0,5941.0,2818.0,37.0,2543.0,26.0,496704.0,142767.0,3479123.0,27.9,35.0,33.1,36.7,24516.0,17.55,176215.0,20.0,109.0,,1591.533203125
France,8472,151.0,2242.0,6079.0,7.0,21172.0,377.0,78966.0,197339.0,400155.0,21.6,41.4,39.6,43.1,48640.0,10.7,181989.13333333333,350.6666666666667,375.0,-48.3191475372837,4379.72705078125
Réunion,8431,41.0,8037.0,353.0,8.0,9387.0,46.0,48859.0,54399.0,898165.0,,42.9,41.5,44.3,,,2503.7,340.0,,,
Bahamas,7623,163.0,6043.0,1417.0,1.0,19303.0,413.0,45657.0,115611.0,394918.0,31.6,32.0,30.9,33.2,,24.85,13940.0,28.0,,,
Hong Kong,7378,114.0,5996.0,1268.0,44.0,981.0,15.0,4656410.0,618864.0,7524120.0,,44.4,43.5,45.0,66527.0,,1106.0,6782.0,,,
Andorra,7236,78.0,6598.0,560.0,17.0,93585.0,1009.0,173151.0,2239408.0,77320.0,25.6,44.3,44.4,44.1,,7.6,464.0,164.0,1996.0,,4040.78662109375
Trinidad and Tobago,6852,122.0,6103.0,627.0,2.0,4889.0,87.0,38252.0,27293.0,1401518.0,18.6,36.0,35.6,36.6,33713.0,25.75,5155.0,265.0,83.0,,1124.09167480469
Eswatini,6685,126.0,6279.0,280.0,11.0,5736.0,108.0,63144.0,54177.0,1165513.0,16.5,,,,11139.0,21.4,17364.0,67.0,,,224.736770629883
Rwanda,6428,54.0,5826.0,548.0,,491.0,4.0,661637.0,50533.0,13093292.0,5.8,19.0,18.3,19.8,2642.0,17.85,26338.0,470.0,1598.0,,49.2044563293457
Malawi,6055,186.0,5490.0,379.0,4.0,313.0,10.0,78389.0,4052.0,19346932.0,5.8,16.5,16.4,16.7,1292.0,21.9,118484.0,148.0,779.0,,32.2593841552734
Congo,6049,99.0,4988.0,962.0,,1084.0,18.0,,,5577776.0,9.6,19.7,19.5,19.8,,24.55,342000.0,16.0,430.0,,
Nicaragua,5887,162.0,4225.0,1500.0,,884.0,24.0,,,6659604.0,23.7,25.7,24.8,26.6,5297.0,24.9,121428.0,53.0,298.0,,192.083389282227
Guyana,5839,154.0,4944.0,741.0,6.0,7408.0,195.0,33350.0,42309.0,788250.0,20.2,26.2,25.9,26.6,17163.0,26.0,214999.0,3.6,207.0,,230.527282714844
Djibouti,5721,61.0,5608.0,52.0,,5753.0,61.0,94951.0,95488.0,994374.0,13.5,23.9,22.1,25.3,5855.0,28.0,23000.0,47.0,430.0,,70.3308944702148
Mali,5649,185.0,3537.0,1927.0,,275.0,9.0,112030.0,5463.0,20506123.0,8.6,15.8,15.1,16.4,2569.0,28.25,1248574.0,15.0,343.0,,31.3781051635742
