country,total_cases,total_deaths,total_recovered,active_cases,serious_cases,cases_per_million,deaths_per_million,total_tests,tests_per_million,population,obesity,median_age,median_age_male,median_age_female,gdp_per_capita,avg_temp_c,area_km,pop_p_km,asl_meters,mobility_composite,healthcare_pc
Mexico,1229379,113019.0,904042.0,212318.0,3550.0,9491.0,872.0,3150804.0,24324.0,129535912.0,28.9,28.3,27.2,29.4,21363.0,21.0,1967138.0,64.0,1111.0,-25.918823062319348,494.677642822266
Poland,1115201,22174.0,815356.0,277671.0,1766.0,29481.0,586.0,6620376.0,175013.0,37827973.0,23.1,40.7,39.0,42.4,35651.0,7.85,312685.0,123.0,173.0,-28.8278329904366,906.820129394531
"Iran, Islamic Republic of",1092407,51727.0,787853.0,252827.0,5768.0,12932.0,612.0,6611783.0,78273.0,84470655.0,25.8,30.3,30.0,30.5,17832.0,17.25,1648195.0,51.0,1305.0,,
Peru,980943,36544.0,916249.0,28150.0,1016.0,29568.0,1102.0,5232485.0,157720.0,33175736.0,19.7,28.0,27.2,28.8,15399.0,19.6,1285216.0,25.0,1555.0,-50.2988345707888,332.570922851563
Ukraine,872228,14755.0,480348.0,377125.0,177.0,19998.0,338.0,4957299.0,113660.0,43615168.0,24.1,40.6,37.4,43.7,10130.0,8.3,603000.0,69.0,175.0,-26.1683977926946,177.408889770508
South Africa,845083,22952.0,758373.0,63758.0,546.0,14169.0,385.0,5779544.0,96906.0,59641017.0,28.3,27.1,26.9,27.3,13965.0,17.75,1220813.0,48.0,1034.0,,499.237548828125
Indonesia,605243,18511.0,496886.0,89846.0,,2202.0,67.0,6271943.0,22823.0,274811380.0,6.9,30.2,29.6,30.8,14841.0,25.85,1904569.0,141.0,367.0,,114.971786499023
Belgium,600397,17692.0,40789.0,541916.0,657.0,51704.0,1524.0,6231437.0,536628.0,11612201.0,22.1,41.4,40.2,42.7,50904.0,9.55,30689.0,376.0,181.0,-44.0418473872569,4507.3564453125
Netherlands,594523,9966.0,,,486.0,34662.0,581.0,5077285.0,296019.0,17151873.0,20.4,39.9,38.300000000000004,41.766666666666666,60299.0,9.25,14001.333333333334,666.3333333333334,30.0,-30.8601849377745,4911.4404296875
Iraq,572600,12549.0,503897.0,56154.0,197.0,14097.0,309.0,3837024.0,94462.0,40619977.0,30.4,20.0,19.8,20.3,18755.0,21.4,438317.0,90.0,312.0,,210.313705444336
Czechia,569205,9341.0,497828.0,62036.0,550.0,53108.0,872.0,3294949.0,307425.0,10717893.0,26.0,42.1,40.8,43.4,40585.0,7.55,78867.0,135.0,433.0,-25.6088405337791,1475.91516113281
Chile,567974,15782.0,541345.0,10847.0,663.0,29598.0,822.0,5686946.0,296359.0,19189388.0,28.0,34.4,33.2,35.6,27150.0,8.45,756096.0,23.0,1871.0,-34.690238193243,1381.98620605469
Romania,545567,13116.0,443168.0,89283.0,1299.0,28445.0,684.0,4386813.0,228721.0,19179736.0,22.5,41.1,39.7,42.6,29555.0,8.8,238391.0,81.0,414.0,-32.6864541113284,555.104736328125
Bangladesh,487849,6986.0,414318.0,66545.0,,2949.0,42.0,2944252.0,17799.0,165420299.0,3.6,26.7,26.0,27.3,5453.0,25.0,143998.0,1171.0,85.0,,36.2823371887207
Canada,448841,13251.0,362293.0,73297.0,596.0,11846.0,350.0,12399310.0,327247.0,37889723.0,29.4,42.2,40.9,43.5,52144.0,-5.35,9984670.0,4.0,487.0,-34.29063215665212,4754.94775390625
Philippines,447039,8709.0,409329.0,29001.0,1401.0,4056.0,79.0,6154475.0,55834.0,110228861.0,6.4,23.5,23.1,24.0,10094.0,25.85,300000.0,362.0,442.0,-47.4919768497387,132.900985717773
Pakistan,435056,8724.0,381208.0,45124.0,2470.0,1953.0,39.0,5990168.0,26887.0,222786615.0,8.6,23.8,23.7,23.8,6016.0,20.2,803940.0,274.0,900.0,,44.5929641723633
Morocco,394564,6542.0,349821.0,38201.0,982.0,10634.0,176.0,4161069.0,112143.0,37105126.0,26.1,29.3,28.6,29.9,9667.0,17.1,446550.0,80.0,909.0,,161.010864257813
Switzerland,373831,5928.0,291500.0,76403.0,450.0,43054.0,683.0,3019837.0,347792.0,8682882.0,19.5,42.4,41.4,43.4,67558.0,5.5,41285.0,208.0,1350.0,-26.9131427997426,9956.259765625
Saudi Arabia,359583,6023.0,350108.0,3452.0,526.0,10258.0,172.0,10316632.0,294305.0,35054178.0,35.4,27.5,28.2,26.7,56912.0,24.65,2149690.0,16.0,665.0,,1093.40551757813
Israel,353269,2969.0,333900.0,16400.0,322.0,38409.0,323.0,5605071.0,609406.0,9197590.0,26.1,29.9,29.3,30.6,40337.0,19.2,22072.0,417.0,508.0,-35.1189512576226,3144.62622070313
Portugal,340287,5373.0,263648.0,71266.0,507.0,33416.0,528.0,4939014.0,485010.0,10183322.0,20.8,42.2,40.2,44.4,34936.0,15.15,92090.0,112.0,372.0,-43.1771018938329,1908.03393554688
Sweden,320098,7514.0,,,252.0,31607.0,742.0,3718476.0,367170.0,10127409.0,20.6,41.2,40.2,42.2,55989.0,2.1,450295.0,23.0,320.0,-18.3111922986974,5904.583984375
Austria,316581,4289.0,273503.0,38789.0,572.0,35061.0,475.0,3355391.0,371608.0,9029375.0,20.1,44.0,42.8,45.1,55171.0,6.35,83879.0,106.0,910.0,-32.3133687025598,4939.87548828125
Hungary,271200,6622.0,78700.0,185878.0,610.0,28106.0,686.0,2245483.0,232709.0,9649309.0,26.4,42.3,40.4,44.3,35941.0,9.75,93029.0,105.0,143.0,-21.6434068198737,981.423034667969
Serbia,255758,2227.0,31536.0,221995.0,319.0,29325.0,255.0,2000098.0,229329.0,8721510.0,21.5,35.85,34.85,36.9,16392.0,10.55,44192.0,127.0,636.5,-34.5469135899807,528.545166015625
Jordan,255459,3286.0,209746.0,42427.0,366.0,24927.0,321.0,2797026.0,272927.0,10248258.0,35.5,22.5,22.9,22.0,9939.0,18.3,89342.0,120.0,812.0,,340.661804199219
Nepal,246694,1674.0,232872.0,12148.0,,8400.0,57.0,1820618.0,61992.0,29368565.0,4.1,24.1,22.8,25.3,3550.0,8.1,147516.0,201.0,3265.0,,47.9153633117676
Ecuador,200765,13858.0,174188.0,12719.0,337.0,11303.0,780.0,684488.0,38537.0,17761840.0,19.9,27.7,27.0,28.4,11866.0,21.85,276841.0,63.0,1117.0,-50.8638012879826,518.029602050781
Panama,187779,3309.0,159070.0,25400.0,172.0,43219.0,762.0,1034667.0,238135.0,4344867.0,22.7,29.2,28.8,29.6,28456.0,25.4,74177.0,56.0,360.0,-46.6841820018202,1112.30322265625
Georgia,183099,1694.0,150461.0,30944.0,,45939.0,425.0,1667615.0,418397.0,3985722.0,21.7,38.1,35.3,40.9,13200.0,5.8,39180.0,41.0,1432.0,-22.7953803604432,293.053588867188
UAE,182601,607.0,162435.0,19559.0,,18364.0,61.0,18118955.0,1822184.0,9943535.0,,,,,,,,,,,
Bulgaria,177665,5562.0,79522.0,92581.0,588.0,25656.0,803.0,1058417.0,152844.0,6924808.0,25.0,42.7,40.9,44.7,26034.0,10.55,111002.0,63.0,472.0,-24.216928915637148,663.715087890625
Japan,171542,2502.0,145014.0,24026.0,554.0,1358.0,20.0,3945830.0,31241.0,126302102.0,4.3,47.3,46.0,48.7,46827.0,11.15,377975.0,333.0,438.0,-23.4654208174666,4168.986328125
Croatia,168388,2484.0,140898.0,25006.0,304.0,41132.0,607.0,861401.0,210414.0,4093839.0,24.4,43.0,41.1,45.0,29207.0,10.9,56542.0,72.0,331.0,-34.5885713836471,902.1396484375
Azerbaijan,167155,1840.0,103550.0,61765.0,,16420.0,181.0,1918866.0,188495.0,10179922.0,19.9,32.3,30.8,33.0,19156.0,11.95,86600.0,116.0,384.0,,275.809356689453
Belarus,156359,1246.0,133930.0,21183.0,,16550.0,132.0,3548306.0,375565.0,9447926.0,24.5,40.0,37.1,43.1,21224.0,6.15,207600.0,46.0,160.0,,342.499908447266
Dominican Republic,152452,2359.0,118877.0,31216.0,231.0,13991.0,216.0,778887.0,71481.0,10896367.0,27.8,28.1,27.9,28.3,20625.0,24.55,47875.0,216.0,424.0,-43.5960441198374,433.208587646484
Costa Rica,150947,1895.0,112622.0,36430.0,232.0,29511.0,370.0,427104.0,83503.0,5114855.0,25.7,31.3,30.8,31.8,18651.0,24.8,51100.0,99.0,746.0,,869.077758789063
"Bolivia, Plurinational State of",146697,9013.0,125886.0,11798.0,71.0,12492.0,767.0,375921.0,32010.0,11743720.0,20.2,24.3,23.6,25.0,8525.0,21.55,1098581.0,10.0,1192.0,,220.274566650391
Armenia,146317,2445.0,123474.0,20398.0,,49336.0,824.0,542394.0,182887.0,2965727.0,20.2,35.1,33.3,36.9,11845.0,7.15,29743.0,99.0,1792.0,,407.635864257813
Kuwait,145789,910.0,141569.0,3310.0,66.0,33916.0,212.0,1172159.0,272685.0,4298584.0,37.9,29.3,30.4,27.4,67891.0,25.35,17818.0,248.0,108.0,,1529.07763671875
Lebanon,143705,1182.0,97647.0,44876.0,390.0,21097.0,174.0,1757731.0,258047.0,6811665.0,32.0,30.5,29.9,31.1,15599.0,16.4,10452.0,672.0,1250.0,,719.443481445313
Kazakhstan,140784,2088.0,124729.0,13967.0,221.0,7458.0,111.0,4871752.0,258084.0,18876581.0,21.0,30.6,29.3,31.9,30178.0,6.4,2724900.0,7.0,387.0,,279.645324707031
Qatar,140680,240.0,138194.0,2246.0,25.0,50103.0,85.0,1159766.0,413051.0,2807805.0,35.1,33.2,34.3,28.1,138910.0,27.15,11571.0,237.0,28.0,,1649.18615722656
Guatemala,128541,4376.0,117013.0,7152.0,5.0,7117.0,242.0,575546.0,31865.0,18062058.0,21.2,22.1,21.4,22.8,9009.0,23.45,108889.0,162.0,759.0,,259.935028076172
Slovakia,127087,1122.0,93533.0,32432.0,282.0,23272.0,205.0,1188116.0,217571.0,5460830.0,20.5,40.5,38.8,42.3,38321.0,6.8,49036.0,111.0,458.0,-24.3581877899725,1186.13635253906
Oman,125669,1463.0,117327.0,6879.0,65.0,24337.0,283.0,571472.0,110672.0,5163656.0,27.0,25.6,26.6,24.2,48593.0,25.6,309500.0,14.0,310.0,,587.646301269531
"Moldova, Republic of",124264,2521.0,106471.0,15272.0,289.0,30837.0,626.0,499663.0,123994.0,4029743.0,18.9,36.7,34.9,38.6,8161.0,9.45,33843.0,79.0,139.0,-44.3836001369445,191.185775756836
Greece,122648,3472.0,9989.0,109187.0,583.0,11793.0,334.0,2557145.0,245877.0,10400094.0,24.9,44.5,43.5,45.6,31616.0,15.4,131957.0,81.0,498.0,-38.7452356654383,1516.58776855469
Egypt,120611,6877.0,104499.0,9235.0,46.0,1169.0,67.0,1000000.0,9691.0,103187278.0,32.0,23.9,23.6,24.2,14800.0,22.1,1002450.0,100.0,321.0,-23.3353058001003,
Ethiopia,115782,1791.0,91209.0,22782.0,326.0,996.0,15.0,1695106.0,14586.0,116214842.0,4.5,17.9,17.7,18.1,2702.0,22.2,1063652.0,101.0,1330.0,,25.2619533538818
Honduras,113708,2971.0,51244.0,59493.0,112.0,11400.0,298.0,282300.0,28302.0,9974407.0,21.4,23.0,22.6,23.3,5600.0,23.5,112492.0,81.0,684.0,-43.8460666133921,195.935745239258
Tunisia,109104,3801.0,83162.0,22141.0,280.0,9189.0,320.0,503966.0,42444.0,11873685.0,26.9,31.6,31.0,32.2,13093.0,19.2,163610.0,72.0,246.0,,250.562225341797
"Venezuela, Bolivarian Republic of",106715,944.0,101823.0,3948.0,35.0,3758.0,33.0,2337527.0,82308.0,28399663.0,25.6,28.3,27.6,29.0,,25.35,916445.0,35.0,450.0,,
"Palestine, State of",106622,931.0,81166.0,24525.0,81.0,20689.0,181.0,760658.0,147597.0,5153598.0,,,,,,,6020.0,827.0,,,
Myanmar,105863,2220.0,84338.0,19305.0,,1940.0,41.0,1395088.0,25564.0,54572749.0,,,,,7220.0,26.05,676577.0,80.0,702.0,,58.0439567565918
Denmark,103564,927.0,76927.0,25710.0,48.0,17852.0,160.0,8365753.0,1442038.0,5801339.0,19.7,42.2,41.2,43.2,55675.0,7.5,43098.0,135.0,34.0,-30.3446339764752,5800.1513671875
Bosnia and Herzegovina,99543,3250.0,63733.0,32560.0,,30426.0,993.0,460177.0,140658.0,3271606.0,17.9,42.1,40.5,43.5,14894.0,9.85,51209.0,69.0,500.0,,460.473327636719
Slovenia,93737,1998.0,70733.0,21006.0,196.0,45086.0,961.0,583661.0,280732.0,2079066.0,20.2,44.5,42.8,46.2,40344.0,8.9,20273.0,103.0,492.0,-33.5234682788531,1920.28186035156
Paraguay,92113,1927.0,65176.0,25010.0,150.0,12844.0,269.0,493080.0,68756.0,7171487.0,20.3,28.2,28.0,28.5,13213.0,23.55,406752.0,17.0,178.0,,381.113067626953
Algeria,91121,2575.0,59590.0,28956.0,46.0,2062.0,58.0,,,44201200.0,27.4,28.1,27.8,28.4,16091.0,22.5,2381741.0,18.0,800.0,,258.494293212891
Kenya,90978,1582.0,71579.0,17817.0,45.0,1676.0,29.0,960364.0,17689.0,54293103.0,7.1,19.7,19.6,19.9,4078.0,24.75,581834.0,82.0,762.0,,76.6103210449219
Libya,89880,1278.0,59839.0,28763.0,,13002.0,185.0,478198.0,69176.0,6912781.0,32.5,28.9,29.1,28.7,9446.0,21.8,1770060.0,3.7,423.0,,
Bahrain,88820,347.0,86867.0,1606.0,7.0,51421.0,201.0,2170286.0,1256455.0,1727309.0,29.8,32.3,33.8,29.5,51991.0,27.15,778.0,1983.0,,,1127.18627929688
Lithuania,86949,764.0,36168.0,50017.0,178.0,32143.0,282.0,1387528.0,512942.0,2705041.0,26.3,43.7,39.7,47.1,38751.0,6.2,65300.0,43.0,110.0,-30.2270683969309,1078.17919921875
China,86701,4634.0,81774.0,293.0,5.0,60.0,3.0,160000000.0,111163.0,1439323776.0,6.2,37.4,36.5,38.4,20984.0,6.95,9640821.0,146.0,1840.0,,440.825622558594
Malaysia,80309,402.0,67173.0,12734.0,123.0,2467.0,12.0,2896938.0,88999.0,32550262.0,15.6,28.5,28.2,28.8,34567.0,25.4,330803.0,99.0,538.0,-41.9606912601406,384.066070556641
Kyrgyzstan,76718,1307.0,69341.0,6070.0,90.0,11674.0,199.0,541098.0,82336.0,6571863.0,16.6,26.5,25.4,27.6,4193.0,1.55,199945.0,32.0,2988.0,,78.8228378295898
Ireland,75507,2120.0,23364.0,50023.0,35.0,15216.0,427.0,2063450.0,415823.0,4962331.0,25.3,36.8,36.4,37.1,86988.0,9.3,70273.0,70.0,118.0,-45.69686337953,4976.8623046875
Uzbekistan,74664,611.0,71921.0,2132.0,179.0,2217.0,18.0,1377915.0,40907.0,33684408.0,16.6,28.6,28.0,29.2,9595.0,12.05,447400.0,73.0,,,98.824577331543
Nigeria,72140,1190.0,65722.0,5228.0,10.0,346.0,6.0,833755.0,4001.0,208384521.0,7.2,16.9,16.8,17.0,3662.0,26.975,1055088.0,118.5,427.0,,51.593315124511705
North Macedonia,72044,2077.0,48170.0,21797.0,138.0,34581.0,997.0,360216.0,172903.0,2083336.0,22.4,37.9,36.8,39.0,17378.0,9.8,25713.0,81.0,741.0,,328.419799804688
Singapore,58305,29.0,58192.0,84.0,,9931.0,5.0,4834370.0,823450.0,5870876.0,6.1,34.6,34.5,34.7,105689.0,26.45,722.5,7894.0,15.0,,2618.71240234375
Ghana,52738,326.0,51518.0,894.0,15.0,1682.0,10.0,616231.0,19651.0,31359003.0,10.9,21.1,20.6,21.6,7343.0,27.2,238533.0,127.0,190.0,,66.7494125366211
Afghanistan,48826,1949.0,38266.0,8611.0,93.0,1242.0,50.0,166698.0,4240.0,39314402.0,5.5,18.9,18.8,18.9,2182.0,12.6,645807.0,49.0,1885.0,,67.1226501464844
Albania,46863,977.0,24136.0,21750.0,39.0,16292.0,340.0,212042.0,73718.0,2876384.0,21.7,32.9,31.6,34.3,14866.0,11.4,28703.0,100.0,708.0,,
S. Korea,41736,578.0,31493.0,9665.0,179.0,814.0,11.0,3349864.0,65314.0,51288993.0,,,,,,,,,,,
Luxembourg,40755,392.0,31678.0,8685.0,47.0,64640.0,622.0,1495056.0,2371264.0,630489.0,22.6,39.3,38.7,39.9,112045.0,8.65,2586.0,237.0,325.0,-43.4409268071014,5782.62841796875
El Salvador,40741,1186.0,37172.0,2383.0,71.0,6267.0,182.0,572266.0,88029.0,6500846.0,24.6,27.1,25.6,28.6,8593.0,24.45,21040.0,319.0,442.0,,282.491027832031
Montenegro,40546,569.0,29462.0,10515.0,68.0,64553.0,906.0,151375.0,241004.0,628102.0,23.3,40.7,39.9,41.8,21977.0,10.55,13812.0,45.0,1086.0,,
Norway,40439,387.0,34463.0,5589.0,31.0,7433.0,71.0,2421445.0,445105.0,5440160.0,23.1,39.2,38.4,40.0,79638.0,1.5,323808.0,17.0,460.0,-30.1455707292886,7936.375
